FID,OBJECTID,Upstream_S,Upstream_I,Upstream_A,Downstream,Downstre_1,Downstre_2,Pipe_ID,Pipe_Geome,Horizontal,Vertical_D,Pipe_Size,Pipe_Lengt,Pipe_Mater,Condition,Comments,Enabled,COMPTYPE,COMPKEY,UNITID,UNITID2,MAINCOMP1,MAINCOMP2,PARLINENO,Date_VERIF,Dbasin,Owner,Picture_ID,Picture__1,Percent_Bl,Pipe_Quant,Pipe_Squas,SurveyDate,Verified_B,Source,Major_Wate,Year_Insta,PIPE_LININ,Downstre_3,Upstream_1,created_us,created_da,last_edite,last_edi_1,Verified_L,DOCID,OUTFALL,Shape_Leng
43,142,E151786,4.610000000000000,1,E151785,4.420000000000000,0,E151786-E151785,CR,15.000000000000000,0.000000000000000,15'',25.000000000000000,RCP,G,HRT LIGHT RAIL,1,31,2014784,E151786,E151785,29,29, ,9/20/2016 0:00:00,4572,CON, , ,0,1,0,,SW,ASBLT,08,2008,0,E151785,E151786,SW,,GISNORFOLK,10/7/2016 0:00:00,5,STPIPE0662,OF0105805,26.973257710100000
44,143, ,1.020000000000000,0, ,-3.360000000000000,1, ,CR,24.000000000000000,0.000000000000000,24'',210.000000000000000,CMP,G, ,1,31,2014785, , ,0,0, ,,5380,CON, , ,0,0,0,,SW,ASBLT,08,999,0, , ,SW,,GISNORFOLK,10/19/2016 0:00:00,4,STPIPE0663,OF0105805,232.654182886999990
45,144, ,2.650000000000000,0, ,1.400000000000000,0, ,EL,14.000000000000000,20.000000000000000,14''X20'',49.000000000000000,CMP,G, ,1,31,2014786, , ,0,0, ,,5428,CON, , ,0,0,0,,SW,ASBLT,08,1965,0, , ,SW,,GISNORFOLK,10/18/2016 0:00:00,4,STPIPE0664,OF0105805,47.564832690899998
46,146, ,3.190000000000000,0, ,0.000000000000000,0, ,CR,8.000000000000000,0.000000000000000,8'',25.000000000000000,CLAY,G, ,1,31,2014790, , ,0,0, ,,5044,CON, , ,0,0,0,,SW,ASBLT,08,999,0, , ,SW,,GISNORFOLK,10/7/2016 0:00:00,4,STPIPE0668,OF0105805,31.714429060499999
47,147,E151639,-4.710000000000000,0,E151639.01,-4.590000000000000,0,E151639-E151639.01,CR,60.000000000000000,0.000000000000000,60'',29.000000000000000,RCP,G, ,1,31,2014794,E151639,E151639.01,30,30, ,,5037,CON, , ,0,0,0,,SW,DM,08,999,0,E151639.01,E151639,SW,,GISNORFOLK,10/7/2016 0:00:00,3,STPIPE0672,OF0105805,29.309629307000002
48,148,E151640,-1.090000000000000,0,E151640.01,0.000000000000000,1,E151640-E151640.01,CR,15.000000000000000,0.000000000000000,15'',16.000000000000000,RCP,G, ,1,31,2014795,E151640,E151640.01,30,32, ,,4832,CON, , ,0,0,0,,SW,DM,08,999,0,E151640.01,E151640,SW,,GISNORFOLK,10/7/2016 0:00:00,4,STPIPE0673,OF0105805,14.679800694400001
49,149,E152023,1.130000000000000,0,E151640,0.570000000000000,0,E152023-E151640,CR,15.000000000000000,0.000000000000000,15'',28.000000000000000,RCP,G, ,1,31,2014796,E152023,E151640,30,30, ,,5039,CON, , ,0,0,0,,SW,DM,08,999,0,E151640,E152023,SW,,GISNORFOLK,10/7/2016 0:00:00,3,STPIPE0674,OF0105805,27.695011262800001
50,150,E152023.01,1.980000000000000,1,E152023,1.140000000000000,1,E152023.01-E152023,CR,15.000000000000000,0.000000000000000,15'',14.000000000000000,RCP,G, ,1,31,2014797,E152023.01,E152023,29,30, ,,5037,CON, , ,0,0,0,,SW,DM,08,999,0,E152023,E152023.01,SW,,GISNORFOLK,10/7/2016 0:00:00,3,STPIPE0675,OF0105805,13.148570315900001
51,151,E152024,3.020000000000000,1,E152023.01,2.050000000000000,1,E152024-E152023.01,CR,15.000000000000000,0.000000000000000,15'',35.000000000000000,RCP,G, ,1,31,2014799,E152024,E152023.01,29,29, ,,5017,CON, , ,0,0,0,,SW,DM,08,999,0,E152023.01,E152024,SW,,GISNORFOLK,10/7/2016 0:00:00,3,STPIPE0677,OF0105805,35.163420739800003
52,190, ,4.830000000000000,1, ,4.600000000000000,1, ,CR,15.000000000000000,0.000000000000000,15'',34.000000000000000,RCP,U, ,1,31,2014843, , ,0,0, ,,5127,CON, , ,0,0,0,,SW,ASBLT,08,1965,0, , ,SW,,GISNORFOLK,10/7/2016 0:00:00,4,STPIPE0721,OF0105805,33.621235483000000
