FID,OBJECTID,Structure_,Structure1,Type_Code,Rim_Elevat,Invert_Ele,Year_Insta,Lid_Type,Lid_Size,Invert_Typ,Comments,Date_Verif,Verified_B,Easting,Northing,Enabled,AncillaryR,UNITID,COMPTYPE,COMPKEY,CntPipe,SurveyDate,Dbasin,Owner,Collector,Picture_ID,Picture__1,Junction_B,Junction_1,Percent_Bl,Structur_1,Structur_2,Source,Major_Wate,Type_Code_,Condition,created_us,created_da,last_edite,last_edi_1,Verified_L,Structur_3,DOCID,OUTFALL,Medallion,Outfall_Re
28,11699,F143553,PICN,50,6.790000000000000,-0.820000000000000,1929,NA, ,I, ,10/22/2012 0:00:00,SW,12131752.835000001000000,3480447.626879999900000,1,0,F143553,32,1998904,3,,3594,CON,CN, , ,0,0,0,CONC,0,DM,08,54,U,SW,,GISNORFOLK,9/30/2016 0:00:00,4,238 E PRINCESS ANNE ROAD,PICN014916,E143250,0, 
29,11700,F143554,GB,24,7.260000000000000,4.040000000000000,1929,ST, ,I,Rim and Invert Assumed,10/22/2012 0:00:00,SW,12131721.903800000000000,3480501.582589999800000,1,0,F143554,29,1998905,1,,3532,CON,CN, , ,0,0,0,CONC,0,DM,08,28,U,SW,,GISNORFOLK,9/30/2016 0:00:00,4,238 E PRINCESS ANNE ROAD,GB014917,E143250,0, 
30,11701,F143586,GB,24,8.439999580000000,6.300000000000000,1929,ST, ,I,Rim and Invert Assumed,10/22/2012 0:00:00,SW,12131962.330100000000000,3480455.904269999800000,1,0,F143586,29,1998906,1,,3579,CON,CN, , ,0,0,0,CONC,0,DM,08,28,U,SW,,GISNORFOLK,9/30/2016 0:00:00,4,1401 ANNE STREET,GB014918,E143250,0, 
31,11707,F143578,GB,24,6.850000000000000,4.850000000000000,1929,ST, ,I,Rim and Invert Assumed,10/22/2012 0:00:00,SW,12131807.734099999000000,3480453.647900000200000,1,0,F143578,29,1998910,2,,3594,CON,CN, , ,0,0,0,CONC,0,DM,08,28,U,SW,,GISNORFOLK,9/30/2016 0:00:00,4,238 E PRINCESS ANNE ROAD,GB014926,E143250,0, 
32,11712,H14175,CBNS,10,13.840000150000000,9.039999959999999,1947,NS,30X19-30,I, ,,SW,12137145.646600001000000,3480472.890769999900000,1,0,H14175,29,2017232,0,,3578,CON, , , ,0,0,0,CONC,0,DM,05,11,U,SW,,MOSWALD,6/9/2016 0:00:00,4,1416 SAINT JULIAN AVENUE,CBNS014932, ,0, 
33,11713,H14174,CBNS,10,13.100000380000001,4.349999900000000,1947,NS,30X19-30,I, ,,SW,12137143.723500000000000,3480441.099669999900000,1,0,H14174,29,2017233,0,,3598,CON, , , ,0,0,0,CONC,0,DM,05,11,U,SW,,MOSWALD,6/9/2016 0:00:00,4,1501 SAINT JULIAN AVENUE,CBNS014933, ,0, 
34,11718,G14180,MH,32,14.560000410000001,11.069999690000000,1936,ST, ,I, ,,SW,12136623.156199999000000,3480429.647510000000000,1,0,G14180,30,2017234,0,,3599,CON, , , ,0,0,0,CONC,0,DM,05,36,U,SW,,MOSWALD,6/9/2016 0:00:00,4,1240 SAINT JULIAN AVENUE,MH014951, ,0, 
35,11720,G14181,PE,46,0.000000000000000,11.750000000000000,1936,ST, ,I, ,,SW,12136644.957000000000000,3480425.788410000000000,1,0,G14181,32,2017236,1,,3600,CON, , , ,0,0,0,CONC,0,DM,05,23,U,SW,,MOSWALD,6/9/2016 0:00:00,2,1244 SAINT JULIAN AVENUE,PE014956, ,0, 
36,11722,E143366,PICN,50,4.730000000000000,-1.490000000000000,1929,ST, ,I, ,10/22/2012 0:00:00,SW,12130615.962600000000000,3480427.002020000000000,1,0,E143366,32,1998916,3,,3399,CON,CN, , ,0,0,0,CONC,0,DM,08,54,U,SW,,GISNORFOLK,11/1/2016 0:00:00,4,1200 MONTICELLO AVENUE,PICN014958,E143250,0, 
37,11724,E143357,CBNS,10,5.620000000000000,0.980000000000000,1929,NS,30X19-30,I,"Debris-Full, Good; Sediment, Throat: H=0.53' L=10'; VDOT DI-3C",11/1/2006 0:00:00,CN,12130331.334600000000000,3480440.342100000000000,1,0,E143357,29,1998917,0,11/1/2006 0:00:00,3484,CON,CN, , ,0,0,0,CONC,0,DM,08,11,G,SW,,GISNORFOLK,11/1/2016 0:00:00,4,1201 MONTICELLO AVENUE,CBNS014960,E143250,0, 
38,11725,E143356,MH,32,5.170000000000000,1.180000000000000,1929,ST, ,I,Debris-Minor;Sediment,12/1/2006 0:00:00,CN,12130335.933100000000000,3480435.549159999900000,1,0,E143356,30,1998918,0,12/1/2006 0:00:00,3484,CON,CN, , ,0,0,0,CONC,0,DM,08,36,F,SW,,GISNORFOLK,11/1/2016 0:00:00,4,121 E PRINCESS ANNE ROAD,MH014961,E143250,0, 
39,11728,H14149,CBNS,10,11.140000340000000,4.090000150000000,1947,NS,30X19-30,I, ,,SW,12137544.109800000000000,3480415.604630000000000,1,0,H14149,29,2017237,0,,3598,CON, , , ,0,0,0,CONC,0,DM,05,11,U,SW,,MOSWALD,6/9/2016 0:00:00,4,1526 SAINT JULIAN AVENUE,CBNS014965, ,0, 
40,11729,H14148,POPE,56,0.000000000000000,4.090000150000000,1947,NA, ,I, ,,SW,12137545.717900001000000,3480428.400659999800000,1,0,H14148,32,2017238,0,,3598,CON, , , ,0,0,0,CONC,0,DM,05,52,U,SW,,MOSWALD,6/3/2016 0:00:00,2,1526 SAINT JULIAN AVENUE,POPE014966, ,0, 
41,11730,E143367,STUB,63,4.460000000000000,1.460000000000000,1929,GR, ,I,Debris- Minor,10/15/2014 0:00:00,CN,12130635.543000000000000,3480420.705010000200000,1,0,E143367,32,1998919,1,,3399,CON,CN, , ,0,0,0,CONC,0,DM,08,16,G,SW,,GISNORFOLK,11/1/2016 0:00:00,4,1200 MONTICELLO AVENUE,STUB014967,E143250,0, 
42,11732,E14178,GB,24,6.450000000000000,3.550000000000000,1943,ST, ,I,Debris-Minor,10/4/2006 0:00:00,CN,12129141.510000000000000,3480409.724010000000000,1,0,E14178,29,1998921,0,10/4/2006 0:00:00,3404,CON, , , ,0,0,0,CONC,0,DM,08,28,F,SW,,GISNORFOLK,11/1/2016 0:00:00,3,1111 LLEWELLYN AVENUE,GB014970, ,0, 
43,11733,E14177,GB,24,6.430000000000000,2.950000000000000,1943,ST, ,I,Debris-Minor,10/4/2006 0:00:00,CN,12129122.375000000000000,3480406.177000000100000,1,0,E14177,29,1998922,0,10/4/2006 0:00:00,3404,CON, , , ,0,0,0,CONC,0,DM,08,28,G,SW,,GISNORFOLK,11/1/2016 0:00:00,3,1022 LLEWELLYN MEWS,GB014971, ,0, 
44,11737,F143544,GB,24,6.700000000000000,2.830000000000000,1929,GR,30X30,I,"Rim , Invert and Location Assumed",10/22/2012 0:00:00,SW,12131371.393600000000000,3480404.081309999800000,1,0,F143544,29,1998923,2,,3589,CON,CN, , ,0,0,0,CONC,0,DM,08,28,U,SW,,GISNORFOLK,9/30/2016 0:00:00,4,238 E PRINCESS ANNE ROAD,GB014975,E143250,0, 
45,11747,E143303,MH,32,9.789999999999999,5.010000000000000,1929,ST, ,I,Debris-Minor; Sediment,10/14/2014 0:00:00,CN,12129247.999199999000000,3480429.475000000100000,1,0,E143303,30,1998928,0,10/16/2006 0:00:00,3404,CON, , , ,0,0,0,CONC,0,DM,08,36,G,SW,,GISNORFOLK,11/1/2016 0:00:00,3,1115 LLEWELLYN AVENUE,MH014988,E143250,0, 
46,11748,E143302,CBNS,10,9.440000000000000,4.790000000000000,1929,NS,30X19-30,I,Debris-Minor; Throat: H=0.60' L=2.33',10/14/2014 0:00:00,CN,12129282.132999999000000,3480419.781990000000000,1,0,E143302,29,1998929,0,12/15/2006 0:00:00,3404,CON, , , ,0,0,0,CONC,0,DM,08,11,G,SW,,GISNORFOLK,11/1/2016 0:00:00,3,1115 LLEWELLYN AVENUE,CBNS014989,E143250,0, 
