	file_name	city	subtype	uuid	reportRating	Confidence	Reliability	Location (x)	Location (y)	pubmilis	roadTypeNumber	Road Type	datetime	file_dt
3246	/home/jeff/Documents/research/waze_proj/data/13.10.2017.17.30.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	6592c92c-b867-3d8d-aa91-8b7203a86355	0	1	7	-76.27711	36.847964000000005	1507928255883	6.0	Primary	2017-10-13 20:57:35.883	2017-10-13 17:30:01
3247	/home/jeff/Documents/research/waze_proj/data/13.10.2017.17.30.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	c8831f04-d00a-3f52-9ead-e68fd0b736f3	3	1	7	-76.27726899999999	36.848008	1507929211938	6.0	Primary	2017-10-13 21:13:31.938	2017-10-13 17:30:01
3248	/home/jeff/Documents/research/waze_proj/data/13.10.2017.17.30.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	f6513c51-1db2-3b34-be3e-ab0ee3b0f559	3	0	5	-76.27785	36.846307	1507929277160	6.0	Primary	2017-10-13 21:14:37.160	2017-10-13 17:30:01
3249	/home/jeff/Documents/research/waze_proj/data/13.01.2018.01.16.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	7f0bfd65-f3d5-33b4-a50e-2153a5b573f9	3	0	6	-76.275501	36.919869	1515823492429	3.0	Freeways	2018-01-13 06:04:52.429	2018-01-13 01:16:01
3250	/home/jeff/Documents/research/waze_proj/data/26.09.2017.16.15.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	5cf3dd2e-7dd2-302b-ad27-0d3df6809fc7	4	0	5	-76.30517900000001	36.898645	1506455522120	1.0	Streets	2017-09-26 19:52:02.120	2017-09-26 16:15:01
3251	/home/jeff/Documents/research/waze_proj/data/26.09.2017.16.15.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	ad62a3d7-da35-3720-a1f3-88214b459a17	4	0	5	-76.306256	36.897649	1506455710981	1.0	Streets	2017-09-26 19:55:10.981	2017-09-26 16:15:01
3252	/home/jeff/Documents/research/waze_proj/data/26.09.2017.16.15.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	95530ba8-e4da-376f-971e-6debb6c5098c	3	0	5	-76.317489	36.925867	1506456684389	6.0	Primary	2017-09-26 20:11:24.389	2017-09-26 16:15:01
3253	/home/jeff/Documents/research/waze_proj/data/09.11.2017.13.12.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	e54e6187-37e9-3255-893c-794106671a65	1	0	5	-76.293759	36.883413	1510250937040	2.0	Primary Street	2017-11-09 18:08:57.040	2017-11-09 13:12:01
3254	/home/jeff/Documents/research/waze_proj/data/08.11.2017.13.02.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	b0c079d4-2eb1-3441-ba74-2dec25d619d9	3	0	5	-76.293695	36.883062	1510162846815			2017-11-08 17:40:46.815	2017-11-08 13:02:01
3255	/home/jeff/Documents/research/waze_proj/data/08.11.2017.13.02.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	8e57669e-7343-3bf6-9dbb-7cfaee0e205c	4	0	5	-76.29086099999999	36.856314000000005	1510164096407	2.0	Primary Street	2017-11-08 18:01:36.407	2017-11-08 13:02:01
3256	/home/jeff/Documents/research/waze_proj/data/08.11.2017.13.02.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	0071e554-04ff-38e0-9da9-7d2395ea7dcb	3	0	5	-76.283715	36.883342999999996	1510162683830	2.0	Primary Street	2017-11-08 17:38:03.830	2017-11-08 13:02:01
3257	/home/jeff/Documents/research/waze_proj/data/08.11.2017.13.02.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	6a818854-dde9-301d-80d8-86c33d6f4a6b	3	0	5	-76.277963	36.846365000000006	1510163387541	6.0	Primary	2017-11-08 17:49:47.541	2017-11-08 13:02:01
3258	/home/jeff/Documents/research/waze_proj/data/12.10.2017.17.50.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	6772cc52-0226-327d-9180-265214c71431	1	3	10	-76.282475	36.885645000000004	1507840714830	7.0	Secondary	2017-10-12 20:38:34.830	2017-10-12 17:50:01
3259	/home/jeff/Documents/research/waze_proj/data/12.10.2017.17.50.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	30c8760d-e577-3c87-9233-c146faf97d47	2	5	10	-76.303574	36.900545	1507842420385	6.0	Primary	2017-10-12 21:07:00.385	2017-10-12 17:50:01
3260	/home/jeff/Documents/research/waze_proj/data/08.11.2017.11.55.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	163749e4-5648-3d20-9c9a-f534ca1285bd	1	0	5	-76.282253	36.850127	1510158590026	2.0	Primary Street	2017-11-08 16:29:50.026	2017-11-08 11:55:01
3261	/home/jeff/Documents/research/waze_proj/data/08.11.2017.11.55.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	6c52d37f-f7d4-39c9-8e69-c618f4639994	2	1	7	-76.302821	36.896832	1510159655516	6.0	Primary	2017-11-08 16:47:35.516	2017-11-08 11:55:01
3262	/home/jeff/Documents/research/waze_proj/data/08.11.2017.11.55.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	a799f534-a30b-34a3-a43d-a3cc24a3741c	2	0	5	-76.303436	36.900695	1510159678417	6.0	Primary	2017-11-08 16:47:58.417	2017-11-08 11:55:01
3263	/home/jeff/Documents/research/waze_proj/data/19.09.2017.20.52.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	9a91fde3-e108-31ba-a5fc-6a696c3a8f3d	2	0	5	-76.296219	36.855492	1505868165351	1.0	Streets	2017-09-20 00:42:45.351	2017-09-19 20:52:01
3264	/home/jeff/Documents/research/waze_proj/data/19.09.2017.20.57.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	9a91fde3-e108-31ba-a5fc-6a696c3a8f3d	2	0	5	-76.296219	36.855492	1505868165351	1.0	Streets	2017-09-20 00:42:45.351	2017-09-19 20:57:01
3265	/home/jeff/Documents/research/waze_proj/data/19.09.2017.20.57.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	615bdbbd-7bee-3b7a-839f-fb972249fcd5	2	0	5	-76.261382	36.959518	1505868997568	7.0	Secondary	2017-09-20 00:56:37.568	2017-09-19 20:57:01
3266	/home/jeff/Documents/research/waze_proj/data/08.10.2017.13.47.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	4691962a-e88c-3ad6-b521-fba0c192bae6	5	0	5	-76.295439	36.882191	1507483745240	1.0	Streets	2017-10-08 17:29:05.240	2017-10-08 13:47:01
3267	/home/jeff/Documents/research/waze_proj/data/06.09.2017.18.42.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	f4ae3d33-bd09-3e1e-999d-c6be4fe52fd1	4	1	9	-76.232742	36.842723	1504737178956	3.0	Freeways	2017-09-06 22:32:58.956	2017-09-06 18:42:01
3268	/home/jeff/Documents/research/waze_proj/data/06.09.2017.18.42.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	918b945c-3ae9-38cf-96db-65513e6b11b1	1	0	8	-76.266788	36.932235	1504736839253	3.0	Freeways	2017-09-06 22:27:19.253	2017-09-06 18:42:01
3269	/home/jeff/Documents/research/waze_proj/data/11.09.2017.14.11.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	bf7b3606-0ec0-3b86-998f-ddb1ab0e00e9	2	0	5	-76.28304200000001	36.884929	1505153133590	7.0	Secondary	2017-09-11 18:05:33.590	2017-09-11 14:11:01
3270	/home/jeff/Documents/research/waze_proj/data/09.11.2017.13.41.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	c520b127-da2a-3b89-8fde-02922a997f55	1	2	9	-76.27696999999999	36.848784	1510251745296	6.0	Primary	2017-11-09 18:22:25.296	2017-11-09 13:41:01
3271	/home/jeff/Documents/research/waze_proj/data/30.10.2017.02.35.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	831fb8a3-85fb-375d-a383-4397096a176f	3	0	5	-76.207763	36.874492	1509343559288			2017-10-30 06:05:59.288	2017-10-30 02:35:01
3272	/home/jeff/Documents/research/waze_proj/data/06.09.2017.17.43.02.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	bd61939d-3328-309b-9ef3-2ca3eef7adf7	4	2	10	-76.316577	36.923768	1504730649035	6.0	Primary	2017-09-06 20:44:09.035	2017-09-06 17:43:02
3273	/home/jeff/Documents/research/waze_proj/data/20.09.2017.07.58.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	976261b5-c327-3e9d-acfe-fd2a15c61ce6	4	0	5	-76.282444	36.885672	1505908297605	7.0	Secondary	2017-09-20 11:51:37.605	2017-09-20 07:58:01
3274	/home/jeff/Documents/research/waze_proj/data/02.09.2017.05.07.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	c5936344-c326-36a4-a161-24863ddb4b63	3	0	5	-76.24584300000001	36.845938000000004	1504342235284	3.0	Freeways	2017-09-02 08:50:35.284	2017-09-02 05:07:01
3275	/home/jeff/Documents/research/waze_proj/data/15.08.2017.18.23.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	3556dbd3-696e-3028-a6dc-af27ba17cde2	5	5	10	-76.283266	36.884569	1502830309305	7.0	Secondary	2017-08-15 20:51:49.305	2017-08-15 18:23:01
3276	/home/jeff/Documents/research/waze_proj/data/15.11.2017.18.46.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	f13f3def-7997-37c3-afc0-d0f249257cfd	2	0	5	-76.28370100000001	36.883656	1510789123240	7.0	Secondary	2017-11-15 23:38:43.240	2017-11-15 18:46:01
3277	/home/jeff/Documents/research/waze_proj/data/30.10.2017.19.11.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	42b8cb4b-56c4-3778-b107-7b686c2c29f1	0	0	5	-76.219398	36.897228000000005	1509404548367	1.0	Streets	2017-10-30 23:02:28.367	2017-10-30 19:11:01
3278	/home/jeff/Documents/research/waze_proj/data/26.09.2017.18.28.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	b8eec297-fd5c-345d-9c55-a30cd7956b05	2	0	5	-76.308983	36.941881	1506463607346	1.0	Streets	2017-09-26 22:06:47.346	2017-09-26 18:28:01
3279	/home/jeff/Documents/research/waze_proj/data/26.09.2017.16.10.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	5cf3dd2e-7dd2-302b-ad27-0d3df6809fc7	4	0	5	-76.30517900000001	36.898645	1506455522120	1.0	Streets	2017-09-26 19:52:02.120	2017-09-26 16:10:01
3280	/home/jeff/Documents/research/waze_proj/data/26.09.2017.16.10.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	ad62a3d7-da35-3720-a1f3-88214b459a17	4	0	5	-76.306256	36.897649	1506455710981	1.0	Streets	2017-09-26 19:55:10.981	2017-09-26 16:10:01
3281	/home/jeff/Documents/research/waze_proj/data/30.01.2018.09.58.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	68137432-98cd-3c51-9e6c-51fcff3bb87f	0	0	5	-76.283713	36.883629	1517323193382	7.0	Secondary	2018-01-30 14:39:53.382	2018-01-30 09:58:01
3282	/home/jeff/Documents/research/waze_proj/data/29.10.2017.13.59.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	7029e95d-0b0d-39be-ac56-c99f47863581	1	0	5	-76.31653299999999	36.937915000000004	1509298933674	1.0	Streets	2017-10-29 17:42:13.674	2017-10-29 13:59:01
3283	/home/jeff/Documents/research/waze_proj/data/29.10.2017.13.59.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	2a4a18e7-e67d-364d-bb48-ad42ade76d9f	1	0	5	-76.304071	36.891351	1509299345258	6.0	Primary	2017-10-29 17:49:05.258	2017-10-29 13:59:01
3284	/home/jeff/Documents/research/waze_proj/data/16.08.2017.18.05.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	a24a9c1a-8cf4-3ab0-8e39-aa88c452ef69	5	0	7	-76.282875	36.88514	1502920028782	7.0	Secondary	2017-08-16 21:47:08.782	2017-08-16 18:05:01
